"ID","is_self_employed","org_size","is_tech_company","is_tech_role","employee_health_importance","willingness_to_share","reaction_to_health_disorder","gender"
"0a66c16786c52547876e5bed497cd247",0,"26-100",0,1,9,0,6,"female"
"dcf2af9fcabd6556042ae916b419e190",0,"1-5",1,0,0,0,8,"male"
"6e6a5ac19349abf1d4b8e086799abcf9",0,"100-500",1,1,10,0,0,"male"
"b04f10afb8ad043c76b21f2faf777c6e",0,"26-100",0,1,5,0,0,"male"
"ce82f60aa6809b4ac131994477432d90",0,"6-25",1,1,0,0,5,"male"
"cc04a38f9ce557e31dda1382aa357be7",0,"6-25",0,1,0,0,1,"male"
"9a8118cb66cc2d79b4b8a5acfb1fe3f8",0,"6-25",1,1,2,0,6,"male"
"8823686151ce1a071fa6f49ef6399f6f",0,"6-25",1,1,5,0,3,"male"
"7045c9671c59988665860403baa14192",0,"6-25",0,1,4,0,7,"male"
"d3b1ad30f9a9063ec83aad314ab29323",0,"More than 1000",1,1,10,0,1,"male"
"b7a8c3373e6025b028df46318d582d4d",0,"More than 1000",0,1,6,0,2,"male"
"d49ff4f83c3cf548c9f24c86ea7f1053",1,"",NA,NA,NA,1,2,"female"
"10bff84cfb0ccd01fbafbf29e862c304",0,"More than 1000",1,1,5,1,2,"female"
"e17658ae343db22eeef034d076cf2a8b",1,"",NA,NA,NA,1,1,"male"
"828205607729cf4cfa430d12f6b3208e",1,"",NA,NA,NA,1,1,"male"
"49a0af2c641a34d5ff56cb640db660cf",0,"100-500",0,1,3,1,3,"male"
"c52088f3b06a54df98655c3dc02f5fef",0,"500-1000",0,1,5,1,2,"male"
"9bd02e3961dd2c26d95243e1178e8790",0,"500-1000",0,1,5,1,3,"male"
"79bb9917440f273018fbe7d62264bea3",0,"More than 1000",0,1,7,1,2,"male"
"3e20f18e7f23b3c7b02acf73219e1627",0,"More than 1000",0,1,2,1,0,"male"
"47b9b894cce843f52265c850e3aa6748",0,"100-500",1,1,7,2,6,"female"
"33dc6ac5a89848c28a9dc3159053edcb",0,"26-100",1,1,9,2,8,"female"
"f2d064b671e534dfba6bfadc37146234",0,"6-25",1,1,3,2,NA,"female"
"f242b41023fe50bf18c5f6f901b4c8bf",0,"6-25",1,1,7,2,NA,"female"
"aae430d1f09e467fcb3d09dce56cb05e",0,"6-25",1,1,5,2,4,"female"
"5e319439440a08c217f3940320e2169c",0,"More than 1000",1,1,7,2,3,"female"
"cae95d3fb9bda2096ed0719b7731e678",1,"",NA,NA,NA,2,5,"male"
"6fda9aabbe63d26aef47838fbf7a4992",0,"100-500",0,1,4,2,4,"male"
"e83b036ccc5ccb785483161865239125",0,"26-100",1,1,6,2,NA,"male"
"804a1462d2ff2f78760b712d1d77cbf6",0,"500-1000",0,1,1,2,2,"male"
"d450e10f423a6df03ae98b37bc38b60c",0,"6-25",1,1,6,2,2,"male"
"61a40c9071eb36fa9caa254d31500c41",0,"6-25",0,1,3,2,9,"male"
"1827577b04d9d7bbb9e86c1ea03434e9",0,"6-25",1,1,5,2,3,"male"
"ebf2903ac77f9f7a0ae55f18df2c7804",0,"More than 1000",1,1,10,2,NA,"male"
"ad4231e6c871dd896b9ae7c3837b7366",0,"More than 1000",1,1,9,2,1,"male"
"9c6620a9f950bab060a2fe9d628265b2",0,"More than 1000",0,1,8,2,2,"male"
"74dc85064aa1440e07f5220d090e0d9e",0,"More than 1000",0,1,7,2,6,"male"
"6dcfc37e53057a5273f972cb0d706449",0,"More than 1000",0,1,7,2,4,"male"
"0558f3512bf10a0302b5b305dc08c471",0,"More than 1000",1,1,0,2,0,"male"
"306da14c6aa36014decab00ee44f8d8c",0,"100-500",1,0,3,3,6,"female"
"2507883a7154f4e74e9a6409f5949008",0,"6-25",0,1,6,3,3,"female"
"fc0f9e607a779be68e43c4d85d2d6efa",0,"More than 1000",1,1,1,3,NA,"female"
"e44a0a34f2465940beda2a1537e9b99e",0,"More than 1000",1,0,8,3,NA,"female"
"87e951aa965903b5d491606d8ce589c8",0,"More than 1000",0,1,2,3,6,"female"
"d0b547836c50ee330b1995a9ac4708bc",1,"",NA,NA,NA,3,3,"male"
"7dbf08cfac3555da3d13c65c847db961",1,"",NA,NA,NA,3,0,"male"
"7900e2f7f7e9dd4e6929cb4970b5256b",1,"",NA,NA,NA,3,5,"male"
"549e783dae9697696354d887b0e4ef78",1,"",NA,NA,NA,3,3,"male"
"bf8186c4ab5c092c3e268091479cd022",0,"26-100",1,1,0,3,4,"male"
